suite,policy,depth,precision,stream_seed,stream_sha256,cap,lines,pieces_locked,terminal_reason,wall_seconds,protocol_sha256,model_closure,source,quality_key,git_commit
bag50k,heuristic,1,0,20052,8c9285bef59ffe52ebcc9f0cb61000e8f90a607ad8b00c59d3e75614a081de52,50000,4496,11283,top_out,1.445,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,5eac9c27af25f44761719c9bd49798ed40bff845a1103740e959f057e67ca0a4,
bag50k,heuristic,1,0,20053,430ca1f0b6929139fc7df14bd5e3fa5f041512754c12aa41442cff1e634a38c6,50000,10492,26273,top_out,3.344,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,be9b283aea53cc248d69d9d5f94894252e3b014c0348f313d1696a15279a95a6,
bag50k,heuristic,1,0,20054,1daab2256b45db26a2a7f82e9ed3354c278f976a05e6ee3ca16c0ee97a6ab78a,50000,17957,44936,top_out,5.699,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,be63e6f063313828a19076e10849bab33584f8e04e7e8bfc15a553cf8b8cd946,
bag50k,heuristic,1,0,20055,4c2418d36a73f67be16e3b942a9a750aee034fd529f0fa96ae948ab88412356b,50000,280,744,top_out,0.107,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,a619ae46494612100846604ec49c863313b2866d509d3377e3ab54dfa11b7f8f,
bag50k,heuristic,1,0,20056,08aa6af04891323c20a9418d780e57b9bca99f9f3e647ef617b096b71a71f455,50000,3719,9342,top_out,1.239,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,55f049ebb7ecdd323606b22e6c0430867a00f6b161de5fbed23936d65accedb0,
bag50k,heuristic,1,0,20057,9b1e0843619742d1bc58b3c4f0ab5a58b3abfa65c58c160f9c199e32f518aeba,50000,11381,28495,top_out,3.759,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,fe5b7bb70ba7d6f9f578a888da23b8800755df2a726ccd3aac2bb7ee3c122bc1,
bag50k,heuristic,1,0,20058,434c6c7fe294403d0dc40cd44497eb4ff0ef89a3fa1cb1a6e7cf407700db01b1,50000,1539,3890,top_out,0.51,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,8f66b4cfd845ab48331308f3893025043f27875c13d3197e6f3890b02e939dd3,
bag50k,heuristic,1,0,20059,5ab8c7bb021142bae1ceffcb4648e8331176d7f080238d04f06bef6829e5492b,50000,2433,6125,top_out,0.795,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,580d2dc10e857421fb665ad4929dbb4b59869fe2cc65f6af3aa1ee281d3405cd,
bag50k,heuristic,1,0,20060,28486abe71558a18ddd9d9bc5183a062ea39d3b57094dfc0485eab44b5c4b8a4,50000,2604,6553,top_out,0.85,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,3ccbd871f2890da4fb049c7880d7659e4bf6f4eeef17a75f797e914da24c86b7,
bag50k,heuristic,1,0,20061,35fade3bb7db9f2540695921ea137e6597002a8f89d35f0283e6b99872f498ad,50000,792,2024,top_out,0.266,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,3de817533f71612a5d1aa97e11ba826a3e9b4a24c59d539d9130c93a53875501,
