commit,toolchain_id,arch,board_repr,lanes,depth,precision,target,package,speed_grade,route_seed,target_mhz,timing_met,reported_fmax_mhz,lut4,ff,bram,dsp,ccu2c,trellis_comb,trellis_ff,log_path,status,elapsed_s
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,4,LFE5U-85F,CABGA381,6,3,50.0,True,66.29,3942,2167,0,0,271,4690,2167,build/pnr_a1-cache-d1-p4-l1_s3/nextpnr.log,routed,42.0
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,4,LFE5U-85F,CABGA381,6,4,50.0,True,65.92,3942,2167,0,0,271,4690,2167,build/pnr_a1-cache-d1-p4-l1_s4/nextpnr.log,routed,429.5
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,4,LFE5U-85F,CABGA381,6,5,50.0,True,67.21,3942,2167,0,0,271,4690,2167,build/pnr_a1-cache-d1-p4-l1_s5/nextpnr.log,routed,31.4
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,2,0,LFE5U-85F,CABGA381,6,1,50.0,True,65.94,4865,2849,0,0,379,5931,2849,build/pnr_a1-cache-d2-p0-l1_s1/nextpnr.log,routed,45.1
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,2,0,LFE5U-85F,CABGA381,6,2,50.0,True,64.51,4865,2849,0,0,379,5931,2849,build/pnr_a1-cache-d2-p0-l1_s2/nextpnr.log,routed,49.5
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,2,0,LFE5U-85F,CABGA381,6,3,50.0,True,66.61,4865,2849,0,0,379,5931,2849,build/pnr_a1-cache-d2-p0-l1_s3/nextpnr.log,routed,48.7
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,2,0,LFE5U-85F,CABGA381,6,4,50.0,True,65.56,4865,2849,0,0,379,5931,2849,build/pnr_a1-cache-d2-p0-l1_s4/nextpnr.log,routed,52.9
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,2,0,LFE5U-85F,CABGA381,6,5,50.0,True,67.17,4865,2849,0,0,379,5931,2849,build/pnr_a1-cache-d2-p0-l1_s5/nextpnr.log,routed,44.0
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,2,1,0,LFE5U-85F,CABGA381,6,1,50.0,True,65.99,7453,3738,0,0,641,9289,3738,build/pnr_a1-cache-d1-p0-l2_s1/nextpnr.log,routed,89.9
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,2,1,0,LFE5U-85F,CABGA381,6,2,50.0,True,63.8,7453,3738,0,0,641,9289,3738,build/pnr_a1-cache-d1-p0-l2_s2/nextpnr.log,routed,74.0
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,2,1,0,LFE5U-85F,CABGA381,6,3,50.0,False,,7453,3738,0,0,641,9289,3738,build/pnr_a1-cache-d1-p0-l2_s3/nextpnr.log,killed_no_convergence,1313.6
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,2,1,0,LFE5U-85F,CABGA381,6,4,50.0,True,65.95,7453,3738,0,0,641,9289,3738,build/pnr_a1-cache-d1-p0-l2_s4/nextpnr.log,routed,88.4
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,2,1,0,LFE5U-85F,CABGA381,6,5,50.0,True,64.29,7453,3738,0,0,641,9289,3738,build/pnr_a1-cache-d1-p0-l2_s5/nextpnr.log,routed,84.9
